"Tabela 6579 - População residente estimada"
"Município","Ano","Variável"
"Município","Ano","População residente estimada (Pessoas)"
"Serrano do Maranhão (MA)","2018","10206"
"Sítio Novo (MA)","2018","18001"
"Sucupira do Norte (MA)","2018","10639"
"Sucupira do Riachão (MA)","2018","5645"
"Tasso Fragoso (MA)","2018","8459"
"Timbiras (MA)","2018","29064"
"Timon (MA)","2018","167973"
"Trizidela do Vale (MA)","2018","21885"
"Tufilândia (MA)","2018","5826"
"Tuntum (MA)","2018","41621"
"Turiaçu (MA)","2018","35497"
"Turilândia (MA)","2018","25365"
"Tutóia (MA)","2018","58311"
"Urbano Santos (MA)","2018","32775"
"Vargem Grande (MA)","2018","55841"
"Viana (MA)","2018","52229"
"Vila Nova dos Martírios (MA)","2018","13183"
"Vitória do Mearim (MA)","2018","32664"
"Vitorino Freire (MA)","2018","31525"
"Zé Doca (MA)","2018","51471"
"Acauã (PI)","2018","7065"
"Agricolândia (PI)","2018","5148"
"Água Branca (PI)","2018","17349"
"Alagoinha do Piauí (PI)","2018","7636"
"Alegrete do Piauí (PI)","2018","4912"
