"Tabela 2030 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal - Resultados Gerais da Amostra"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Município","Ano","Classes de rendimento nominal mensal"
"Município","Ano","Total","Até 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 20 salários mínimos","Mais de 20 salários mínimos","Sem rendimento"
"Terenos (MS)","2010","14418","3864","3107","750","437","264","42","16","5938"
"Três Lagoas (MS)","2010","86321","18089","23745","8391","6528","4247","1360","437","23524"
"Vicentina (MS)","2010","5155","2014","1239","276","168","121","48","10","1279"
"Acorizal (MT)","2010","4682","1740","543","162","82","41","6","-","2108"
"Água Boa (MT)","2010","17417","4236","3886","1320","1165","521","180","67","6043"
"Alta Floresta (MT)","2010","41387","11360","9987","3391","2264","1350","483","127","12426"
"Alto Araguaia (MT)","2010","13175","3778","3075","1210","790","531","132","23","3638"
"Alto Boa Vista (MT)","2010","4152","1117","628","184","115","100","10","-","1998"
"Alto Garças (MT)","2010","8741","2497","1865","968","544","239","70","38","2519"
"Alto Paraguai (MT)","2010","8415","2507","1483","373","223","99","6","-","3725"
"Alto Taquari (MT)","2010","6650","1302","1679","876","552","292","65","30","1854"
"Apiacás (MT)","2010","7000","2167","1609","500","281","182","28","8","2225"
"Araguaiana (MT)","2010","2728","829","512","186","139","71","4","6","982"
"Araguainha (MT)","2010","946","376","210","59","27","17","2","-","256"
"Araputanga (MT)","2010","12906","3895","2915","773","720","428","61","58","4056"
"Arenápolis (MT)","2010","8724","3380","1603","484","331","224","79","17","2607"
"Aripuanã (MT)","2010","15132","3072","2947","1134","706","471","145","38","6619"
"Barão de Melgaço (MT)","2010","6371","2262","662","233","145","49","15","3","3001"
"Barra do Bugres (MT)","2010","26204","7070","5367","2227","1142","920","148","50","9279"
"Barra do Garças (MT)","2010","48164","12369","8810","3091","3195","2173","628","291","17608"
"Bom Jesus do Araguaia (MT)","2010","4347","1366","816","321","206","96","11","7","1524"
"Brasnorte (MT)","2010","12460","2817","2845","1112","618","398","94","50","4524"
"Cáceres (MT)","2010","72902","23866","13037","3833","3405","2544","814","225","25179"
"Campinápolis (MT)","2010","10108","3407","1183","257","175","168","49","16","4854"
"Campo Novo do Parecis (MT)","2010","22653","3651","5154","2984","2076","1261","299","81","7148"
"Campo Verde (MT)","2010","26089","5124","6570","2957","2062","1165","389","148","7675"
"Campos de Júlio (MT)","2010","4149","839","915","528","292","202","44","71","1258"
"Canabrava do Norte (MT)","2010","3836","1235","710","147","94","40","10","14","1586"
"Canarana (MT)","2010","15335","4036","3729","1441","902","541","217","87","4382"
"Carlinda (MT)","2010","9316","3690","1716","440","322","82","26","4","3035"
"Castanheira (MT)","2010","6855","2471","1357","333","261","116","31","22","2264"
"Chapada dos Guimarães (MT)","2010","14933","4646","2970","887","521","350","174","20","5366"
"Cláudia (MT)","2010","9123","2538","2321","675","359","212","80","41","2897"
"Cocalinho (MT)","2010","4566","1461","1045","296","166","113","39","3","1442"
"Colíder (MT)","2010","26268","8013","6119","1866","1355","696","230","146","7842"
"Colniza (MT)","2010","21077","6972","3867","796","786","486","96","42","8032"
"Comodoro (MT)","2010","14663","4315","3172","1012","688","310","109","72","4985"
"Confresa (MT)","2010","20411","5985","3695","743","856","376","133","97","8525"
"Conquista D'Oeste (MT)","2010","2797","752","560","197","254","126","21","6","882"
"Cotriguaçu (MT)","2010","11908","3239","2092","689","367","186","32","19","5284"
"Cuiabá (MT)","2010","470056","95480","106119","41424","36470","32789","12651","5927","139196"
"Curvelândia (MT)","2010","4105","1692","785","155","166","88","18","2","1199"
"Denise (MT)","2010","6948","1685","1524","616","453","196","33","3","2439"
"Diamantino (MT)","2010","16960","4165","3862","1563","1183","609","153","66","5359"
"Dom Aquino (MT)","2010","6974","2224","1424","361","305","216","49","12","2383"
"Feliz Natal (MT)","2010","8504","1904","2193","785","487","191","42","15","2887"
"Figueirópolis D'Oeste (MT)","2010","3257","1235","701","192","116","87","12","3","911"
"Gaúcha do Norte (MT)","2010","5002","850","788","380","161","110","10","30","2673"
"General Carneiro (MT)","2010","3952","1194","646","233","133","106","14","6","1620"
"Glória D'Oeste (MT)","2010","2690","1056","589","118","106","67","12","6","736"
"Guarantã do Norte (MT)","2010","27204","8381","5699","1875","1416","807","232","62","8733"
"Guiratinga (MT)","2010","12066","4505","2307","793","475","225","56","23","3682"
"Indiavaí (MT)","2010","1965","540","427","65","80","34","5","4","811"
"Ipiranga do Norte (MT)","2010","4212","806","1003","507","365","166","74","14","1277"
"Itanhangá (MT)","2010","4312","1072","975","382","231","68","44","18","1522"
"Itaúba (MT)","2010","3792","1113","849","241","187","112","27","22","1241"
"Itiquira (MT)","2010","9579","1677","2310","799","568","296","52","12","3866"
"Jaciara (MT)","2010","21660","5549","5004","1719","1200","871","283","103","6932"
"Jangada (MT)","2010","6389","2125","746","149","124","65","13","7","3159"
"Jauru (MT)","2010","8671","2803","1235","447","317","258","35","14","3562"
"Juara (MT)","2010","27251","7698","6100","2172","1460","700","268","96","8758"
"Juína (MT)","2010","32867","8757","6849","2167","1793","1016","391","182","11711"
"Juruena (MT)","2010","9048","2886","1853","652","344","138","21","4","3148"
"Juscimeira (MT)","2010","9785","3166","2219","647","467","217","70","10","2988"
"Lambari D'Oeste (MT)","2010","4479","1141","1191","290","118","133","2","15","1589"
"Lucas do Rio Verde (MT)","2010","37912","5367","10563","4533","3545","2286","523","195","10900"
"Luciara (MT)","2010","1824","680","248","73","69","22","8","-","725"
"Vila Bela da Santíssima Trindade (MT)","2010","11452","3166","1990","553","357","250","48","33","5056"
"Marcelândia (MT)","2010","9879","2946","2297","613","400","242","74","40","3266"
"Matupá (MT)","2010","11873","3601","2463","756","638","393","109","43","3870"
"Mirassol d'Oeste (MT)","2010","21323","7177","4985","1338","953","631","157","85","5996"
"Nobres (MT)","2010","12288","4005","2483","885","579","284","96","16","3939"
"Nortelândia (MT)","2010","5438","2113","1025","325","229","66","29","-","1651"
"Nossa Senhora do Livramento (MT)","2010","9865","4201","1390","254","216","47","14","5","3737"
"Nova Bandeirantes (MT)","2010","9829","2348","1955","468","517","222","84","55","4181"
"Nova Nazaré (MT)","2010","2234","622","382","113","116","42","8","-","951"
"Nova Lacerda (MT)","2010","4376","1216","758","294","199","107","12","3","1786"
"Nova Santa Helena (MT)","2010","2912","937","547","180","162","63","18","16","989"
"Nova Brasilândia (MT)","2010","3873","1360","663","183","110","36","9","8","1504"
"Nova Canaã do Norte (MT)","2010","10225","3478","2100","626","429","204","58","40","3291"
"Nova Mutum (MT)","2010","26353","4395","7501","3417","2209","1635","348","141","6708"
"Nova Olímpia (MT)","2010","14248","3724","2603","1069","931","335","71","11","5504"
"Nova Ubiratã (MT)","2010","7509","1408","1716","750","556","170","38","25","2845"
"Nova Xavantina (MT)","2010","16736","5452","3165","1234","713","553","146","66","5406"
"Novo Mundo (MT)","2010","6079","2100","1133","290","201","95","10","24","2228"
"Novo Horizonte do Norte (MT)","2010","3242","1069","609","207","77","69","11","8","1192"
"Novo São Joaquim (MT)","2010","5097","2065","840","249","125","94","38","9","1676"
"Paranaíta (MT)","2010","9063","3131","1735","524","268","207","104","25","3068"
"Paranatinga (MT)","2010","15917","4321","3180","1100","638","445","91","27","6114"
"Novo Santo Antônio (MT)","2010","1627","618","288","59","31","29","14","3","586"
"Pedra Preta (MT)","2010","13293","3720","2846","898","752","253","82","15","4727"
"Peixoto de Azevedo (MT)","2010","25127","8874","4223","1159","891","383","100","71","9426"
"Planalto da Serra (MT)","2010","2230","745","459","96","42","30","3","-","856"
"Poconé (MT)","2010","26409","9969","3706","996","762","407","100","53","10415"
"Pontal do Araguaia (MT)","2010","4585","1449","1084","278","183","134","37","7","1413"
"Ponte Branca (MT)","2010","1534","662","251","79","52","40","7","6","437"
"Pontes e Lacerda (MT)","2010","34281","9883","7132","2700","2257","1202","319","105","10685"
"Porto Alegre do Norte (MT)","2010","8733","3109","1402","430","287","147","29","40","3290"
"Porto dos Gaúchos (MT)","2010","4495","1267","1101","344","200","110","25","26","1422"
"Porto Esperidião (MT)","2010","9100","2871","1660","369","215","167","63","32","3723"
"Porto Estrela (MT)","2010","3065","1131","341","65","63","18","3","-","1443"
"Poxoréu (MT)","2010","14801","5146","2387","846","489","297","57","17","5563"
"Primavera do Leste (MT)","2010","43669","7642","10458","4777","3382","2511","737","264","13899"
"Querência (MT)","2010","10540","2590","2450","954","633","360","103","28","3421"
"São José dos Quatro Marcos (MT)","2010","16363","5740","3341","1043","583","449","110","49","5047"
"Reserva do Cabaçal (MT)","2010","2165","905","398","125","83","29","-","2","624"
"Ribeirão Cascalheira (MT)","2010","7293","2230","1269","404","305","234","13","19","2818"
"Ribeirãozinho (MT)","2010","1867","590","370","137","97","34","15","6","619"
"Rio Branco (MT)","2010","4357","1586","981","202","231","81","46","22","1207"
"Santa Carmem (MT)","2010","3354","816","783","255","244","128","26","7","1095"
"Santo Afonso (MT)","2010","2522","922","532","148","68","52","7","3","789"
"São José do Povo (MT)","2010","3166","1142","478","125","102","49","7","-","1263"
"São José do Rio Claro (MT)","2010","14211","3796","3460","1347","724","283","100","48","4454"
"São José do Xingu (MT)","2010","4188","1143","896","321","132","84","25","24","1562"
"São Pedro da Cipa (MT)","2010","3433","1103","813","313","154","38","6","-","1006"
"Rondolândia (MT)","2010","2795","1063","421","154","70","30","10","8","1038"
"Rondonópolis (MT)","2010","165603","38616","40000","15518","11273","7784","2282","1061","49068"
"Rosário Oeste (MT)","2010","14928","5430","2471","748","549","313","92","13","5311"
"Santa Cruz do Xingu (MT)","2010","1532","407","355","124","90","32","13","5","505"
"Salto do Céu (MT)","2010","3331","1240","581","179","99","59","37","3","1132"
"Santa Rita do Trivelato (MT)","2010","2033","287","482","259","176","105","18","9","697"
"Santa Terezinha (MT)","2010","5880","2123","742","162","111","87","22","9","2625"
"Santo Antônio do Leste (MT)","2010","3083","531","674","266","191","37","8","3","1373"
"Santo Antônio do Leverger (MT)","2010","15448","4510","2998","837","397","286","80","35","6304"
"São Félix do Araguaia (MT)","2010","8807","2510","1343","389","283","239","86","15","3943"
"Sapezal (MT)","2010","14679","1809","3270","2165","1395","954","189","92","4805"
"Serra Nova Dourada (MT)","2010","1149","468","170","41","30","28","4","-","408"
"Sinop (MT)","2010","94494","18955","24021","10079","7727","5323","1549","591","26249"
"Sorriso (MT)","2010","54824","9737","12992","5624","4683","3155","1072","327","17234"
"Tabaporã (MT)","2010","8293","2228","1949","769","360","201","9","21","2756"
"Tangará da Serra (MT)","2010","70226","17538","16548","6209","4077","2824","970","458","21602"
"Tapurah (MT)","2010","8839","1206","2298","828","496","294","108","58","3551"
"Terra Nova do Norte (MT)","2010","9644","3368","2043","657","422","254","19","36","2845"
"Tesouro (MT)","2010","2920","921","467","166","97","35","9","4","1221"
"Torixoréu (MT)","2010","3583","1338","551","162","131","54","18","13","1315"
"União do Sul (MT)","2010","3086","855","755","220","140","78","17","2","1020"
"Vale de São Domingos (MT)","2010","2561","771","447","171","136","71","2","-","964"
"Várzea Grande (MT)","2010","211088","46490","54111","17850","12733","7804","1806","461","69834"
"Vera (MT)","2010","8363","2352","1961","722","359","109","55","4","2801"
"Vila Rica (MT)","2010","17554","5417","3649","1073","750","467","185","124","5888"
"Nova Guarita (MT)","2010","4201","1654","698","211","216","71","15","13","1323"
"Nova Marilândia (MT)","2010","2431","706","628","197","140","76","7","-","677"
"Nova Maringá (MT)","2010","5261","1022","1332","551","321","149","61","7","1818"
"Nova Monte Verde (MT)","2010","6750","2015","1443","539","314","143","51","36","2210"
"Abadia de Goiás (GO)","2010","5805","1767","1564","390","267","154","14","18","1629"
"Abadiânia (GO)","2010","13491","4879","2547","651","505","266","61","34","4549"
"Acreúna (GO)","2010","17129","5530","3828","1206","729","497","95","94","5151"
"Adelândia (GO)","2010","2148","933","446","107","66","55","-","6","536"
"Água Fria de Goiás (GO)","2010","4239","1560","698","194","81","77","28","13","1587"
"Água Limpa (GO)","2010","1785","621","374","98","69","34","14","2","572"
"Águas Lindas de Goiás (GO)","2010","126526","34860","32958","7993","3878","1624","483","126","44604"
"Alexânia (GO)","2010","19760","7274","3710","1126","653","612","67","4","6314"
"Aloândia (GO)","2010","1833","766","403","92","75","57","12","4","425"
"Alto Horizonte (GO)","2010","3819","1265","773","249","224","122","27","24","1136"
"Alto Paraíso de Goiás (GO)","2010","5653","2192","993","308","233","135","59","33","1699"
"Alvorada do Norte (GO)","2010","6631","2990","971","283","243","111","36","3","1995"
"Amaralina (GO)","2010","2930","949","438","62","32","20","4","-","1425"
"Americano do Brasil (GO)","2010","4771","1843","977","374","178","91","6","6","1296"
"Amorinópolis (GO)","2010","3194","1322","614","189","118","42","8","5","895"
"Anápolis (GO)","2010","285577","74620","65378","22639","17943","12553","3917","1444","87083"
"Anhanguera (GO)","2010","885","287","269","80","74","25","9","-","142"
"Anicuns (GO)","2010","17562","5444","3793","1281","817","458","126","39","5603"
"Aparecida de Goiânia (GO)","2010","379649","96866","100103","33295","23090","12166","2393","1340","110396"
"Aparecida do Rio Doce (GO)","2010","2075","637","366","168","63","64","28","3","746"
"Aporé (GO)","2010","3187","923","893","257","148","81","20","9","855"
"Araçu (GO)","2010","3381","1233","800","136","76","43","7","5","1081"
"Aragarças (GO)","2010","15656","5490","3304","990","699","496","139","28","4508"
"Aragoiânia (GO)","2010","7083","2178","1835","456","259","178","58","9","2110"
"Araguapaz (GO)","2010","6413","2465","1352","307","233","135","37","34","1851"
"Arenópolis (GO)","2010","2869","1238","548","99","91","48","20","11","815"
"Aruanã (GO)","2010","6177","2085","1468","453","293","212","45","28","1594"
"Aurilândia (GO)","2010","3272","1534","560","127","95","56","10","3","887"
"Avelinópolis (GO)","2010","2125","839","333","92","52","32","13","7","756"
"Baliza (GO)","2010","3234","1101","463","114","86","24","3","8","1435"
"Barro Alto (GO)","2010","7347","2256","1800","698","406","159","50","20","1959"
"Bela Vista de Goiás (GO)","2010","21059","7073","5117","1452","1055","649","175","89","5450"
