"Tabela 1685 - Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal"
"Município","Ano","Variável"
"Município","Ano","Número de unidades locais (Unidades)","Número de empresas e outras organizações atuantes (Unidades)","Pessoal ocupado total (Pessoas)","Pessoal ocupado assalariado (Pessoas)","Pessoal assalariado médio (Pessoas)","Salários e outras remunerações (Mil Reais)","Salário médio mensal (Salários mínimos)","Salário médio mensal em reais (Reais)"
"São Gabriel (RS)","2018","1354","1292","9698","8148","8176.73","225174","2.2","2118.34"
"São Jerônimo (RS)","2018","515","505","4060","3524","3567.77","113423","2.6","2445.46"
"São João da Urtiga (RS)","2018","184","182","842","578","561.34","13938","2.0","1909.95"
"São João do Polêsine (RS)","2018","138","136","717","523","535.21","14589","2.2","2096.75"
"São Jorge (RS)","2018","142","139","572","399","417.68","10652","2.1","1961.74"
"São José das Missões (RS)","2018","54","53","298","255","247.86","7735","2.5","2400.52"
"São José do Herval (RS)","2018","63","61","460","366","370.63","9915","2.2","2057.85"
"São José do Hortêncio (RS)","2018","157","155","989","803","881.63","21879","2.0","1908.98"
"São José do Inhacorá (RS)","2018","94","90","712","605","597.21","16893","2.3","2175.90"
"São José do Norte (RS)","2018","475","462","3390","2950","3416.08","119895","2.8","2699.79"
"São José do Ouro (RS)","2018","356","345","1774","1308","1310.28","34292","2.1","2013.21"
"São José do Sul (RS)","2018","110","110","455","334","339.41","10327","2.5","2340.44"
"São José dos Ausentes (RS)","2018","109","107","591","474","547.41","14190","2.1","1994.06"
"São Leopoldo (RS)","2018","7755","7463","64700","55022","55315.73","2233906","3.3","3106.51"
"São Lourenço do Sul (RS)","2018","1126","1075","6609","5351","5300.48","149818","2.3","2174.23"
"São Luiz Gonzaga (RS)","2018","1160","1117","7225","5890","5850.37","159797","2.2","2101.08"
"São Marcos (RS)","2018","1119","1100","8394","6628","6674.89","205408","2.5","2367.17"
"São Martinho (RS)","2018","285","279","1368","1049","1051.17","26410","2.0","1932.66"
"São Martinho da Serra (RS)","2018","52","52","286","228","231.03","8243","2.9","2744.63"
"São Miguel das Missões (RS)","2018","186","180","964","851","854.54","25404","2.4","2286.76"
"São Nicolau (RS)","2018","83","82","464","412","466.98","11396","2.0","1877.24"
"São Paulo das Missões (RS)","2018","146","143","783","638","634.48","18056","2.3","2189.13"
"São Pedro da Serra (RS)","2018","152","151","812","624","640.90","16346","2.1","1961.87"
"São Pedro das Missões (RS)","2018","27","24","254","234","232.02","6462","2.2","2142.33"
"São Pedro do Butiá (RS)","2018","137","132","619","457","436.95","13614","2.5","2396.60"
"São Pedro do Sul (RS)","2018","525","500","2336","1813","1845.74","49547","2.2","2064.91"
"São Sebastião do Caí (RS)","2018","1067","1041","8625","7263","7503.53","204964","2.2","2101.20"
"São Sepé (RS)","2018","703","673","3936","3197","3247.51","89627","2.2","2122.98"
"São Valentim (RS)","2018","130","126","538","403","414.36","10540","2.1","1956.60"
"São Valentim do Sul (RS)","2018","120","118","460","346","359.51","10189","2.3","2180.05"
"São Valério do Sul (RS)","2018","44","44","255","225","227.22","6343","2.3","2147.30"
"São Vendelino (RS)","2018","149","148","834","643","671.56","17912","2.2","2051.68"
"São Vicente do Sul (RS)","2018","216","215","1105","863","862.61","24211","2.3","2158.98"
"Sapiranga (RS)","2018","3417","3336","27867","23129","23932.88","598966","2.0","1925.15"
"Sapucaia do Sul (RS)","2018","3057","2959","24114","20248","20513.23","743396","2.9","2787.68"
"Sarandi (RS)","2018","1237","1175","7769","6258","6388.93","176117","2.2","2120.46"
"Seberi (RS)","2018","443","437","3353","2777","2715.60","66147","2.0","1873.70"
"Sede Nova (RS)","2018","85","81","445","358","370.11","10124","2.2","2104.25"
"Segredo (RS)","2018","130","130","560","387","396.19","12025","2.4","2334.76"
"Selbach (RS)","2018","248","237","1317","1049","1029.51","28456","2.2","2126.14"
"Senador Salgado Filho (RS)","2018","75","73","311","249","250.83","8355","2.7","2562.26"
"Sentinela do Sul (RS)","2018","136","134","662","507","517.00","13231","2.1","1968.66"
"Serafina Corrêa (RS)","2018","964","941","7056","5612","5656.98","168515","2.4","2291.45"
"Sério (RS)","2018","114","114","326","204","198.90","5406","2.2","2090.65"
"Sertão (RS)","2018","205","203","873","636","639.56","19922","2.5","2396.15"
"Sertão Santana (RS)","2018","173","171","915","706","672.88","20328","2.4","2323.91"
"Sete de Setembro (RS)","2018","41","41","211","164","167.12","6337","3.1","2916.87"
"Severiano de Almeida (RS)","2018","142","142","670","460","458.06","12868","2.3","2161.01"
"Silveira Martins (RS)","2018","67","65","363","292","309.35","9936","2.6","2470.65"
"Sinimbu (RS)","2018","269","262","1063","808","828.24","25485","2.5","2366.96"
"Sobradinho (RS)","2018","593","574","3008","2264","2430.06","59051","2.0","1869.25"
"Soledade (RS)","2018","1247","1187","6228","4676","4752.73","123814","2.1","2003.94"
"Tabaí (RS)","2018","185","182","846","653","691.46","15138","1.8","1684.01"
"Tapejara (RS)","2018","1245","1214","9959","8200","8296.35","223939","2.2","2076.34"
"Tapera (RS)","2018","528","509","2862","2144","2113.86","63283","2.4","2302.87"
"Tapes (RS)","2018","517","502","2340","1733","1715.23","47834","2.2","2145.22"
"Taquara (RS)","2018","2169","2115","13282","10484","10784.13","286187","2.1","2041.37"
"Taquari (RS)","2018","988","960","5961","4855","4569.41","132237","2.3","2226.13"
"Taquaruçu do Sul (RS)","2018","133","133","553","426","427.35","11742","2.2","2113.59"
"Tavares (RS)","2018","163","159","665","486","477.25","11098","1.9","1788.76"
"Tenente Portela (RS)","2018","526","512","3167","2436","2431.88","64681","2.1","2045.93"
"Terra de Areia (RS)","2018","376","373","2100","1664","1755.10","40678","1.9","1782.86"
"Teutônia (RS)","2018","1598","1524","12662","10820","11201.97","318120","2.3","2184.51"
"Tio Hugo (RS)","2018","183","181","838","616","613.09","18697","2.5","2345.93"
"Tiradentes do Sul (RS)","2018","147","140","544","433","450.06","12188","2.2","2083.14"
"Toropi (RS)","2018","60","57","299","249","245.60","7807","2.6","2445.20"
"Torres (RS)","2018","2180","2104","12151","9670","9143.17","254418","2.2","2140.47"
"Tramandaí (RS)","2018","1775","1722","10872","8866","8373.68","225781","2.2","2074.09"
"Travesseiro (RS)","2018","107","106","586","490","533.79","11948","1.8","1721.80"
"Três Arroios (RS)","2018","114","112","456","351","332.57","10698","2.6","2474.45"
"Três Cachoeiras (RS)","2018","566","565","2768","2182","2177.47","52294","1.9","1847.38"
"Três Coroas (RS)","2018","1146","1123","9778","8264","9051.33","224517","2.0","1908.07"
"Três de Maio (RS)","2018","1134","1086","7540","6016","5980.08","174001","2.3","2238.21"
"Três Forquilhas (RS)","2018","50","50","324","272","278.72","8026","2.3","2215.15"
"Três Palmeiras (RS)","2018","221","214","663","455","493.95","13510","2.2","2103.87"
"Três Passos (RS)","2018","1030","992","6959","5728","5621.40","152719","2.2","2089.80"
"Trindade do Sul (RS)","2018","232","228","2094","1896","1598.19","40472","2.0","1948.00"
"Triunfo (RS)","2018","872","838","11131","10190","10492.49","731011","5.6","5359.22"
"Tucunduva (RS)","2018","250","240","1154","918","921.38","24504","2.1","2045.78"
"Tunas (RS)","2018","109","107","422","325","336.24","8253","2.0","1888.12"
"Tupanci do Sul (RS)","2018","42","42","341","298","294.28","9673","2.7","2528.46"
"Tupanciretã (RS)","2018","565","528","3117","2575","2625.41","84640","2.6","2479.91"
"Tupandi (RS)","2018","278","273","3218","2864","2932.83","95207","2.6","2497.11"
"Tuparendi (RS)","2018","278","262","1534","1222","1230.58","34661","2.3","2166.66"
"Turuçu (RS)","2018","85","84","490","400","403.98","10555","2.1","2009.90"
"Ubiretama (RS)","2018","55","53","224","186","188.71","6809","2.9","2775.60"
"União da Serra (RS)","2018","83","82","284","180","196.67","6776","2.8","2650.13"
"Unistalda (RS)","2018","35","35","229","207","211.49","6049","2.3","2200.04"
"Uruguaiana (RS)","2018","3186","2997","22100","18286","18547.67","515939","2.2","2139.76"
"Vacaria (RS)","2018","2203","2104","18148","15328","17035.62","444848","2.1","2008.68"
"Vale Verde (RS)","2018","130","129","418","304","286.55","8502","2.4","2282.19"
"Vale do Sol (RS)","2018","253","251","976","699","705.03","22004","2.5","2400.80"
"Vale Real (RS)","2018","257","251","1835","1550","1528.20","40958","2.2","2061.67"
"Vanini (RS)","2018","114","114","605","426","417.91","9747","1.9","1794.13"
"Venâncio Aires (RS)","2018","2922","2806","19004","15534","17337.13","511130","2.4","2267.83"
"Vera Cruz (RS)","2018","814","792","5323","4246","4440.97","127453","2.3","2207.64"
"Veranópolis (RS)","2018","1547","1491","9854","7473","7551.08","239320","2.6","2437.96"
"Vespasiano Corrêa (RS)","2018","98","98","410","272","272.24","8238","2.4","2327.78"
"Viadutos (RS)","2018","196","192","762","505","509.76","15642","2.5","2360.36"
"Viamão (RS)","2018","3594","3451","24510","20071","20309.36","630429","2.5","2387.79"
"Vicente Dutra (RS)","2018","61","59","348","289","299.25","9412","2.5","2419.34"
"Victor Graeff (RS)","2018","172","167","657","486","477.14","14991","2.5","2416.83"
"Vila Flores (RS)","2018","207","203","1294","989","1005.76","32629","2.6","2495.52"
"Vila Lângaro (RS)","2018","77","77","525","458","461.84","13371","2.3","2227.00"
"Vila Maria (RS)","2018","260","254","1794","1488","1526.09","40605","2.1","2046.69"
"Vila Nova do Sul (RS)","2018","112","109","649","554","582.30","16274","2.3","2149.81"
"Vista Alegre (RS)","2018","110","108","549","412","389.66","9615","2.0","1898.20"
"Vista Alegre do Prata (RS)","2018","74","74","294","182","184.10","6285","2.8","2625.93"
"Vista Gaúcha (RS)","2018","121","120","663","414","429.27","10267","1.9","1839.83"
"Vitória das Missões (RS)","2018","92","90","379","300","323.30","8227","2.1","1957.52"
"Westfália (RS)","2018","149","147","1638","1470","1458.48","44671","2.5","2356.04"
"Xangri-lá (RS)","2018","1030","1016","5138","3945","3558.14","107520","2.4","2324.47"
"Água Clara (MS)","2018","559","528","4435","3861","4568.00","149924","2.6","2524.66"
"Alcinópolis (MS)","2018","103","98","576","482","502.49","16260","2.6","2489.10"
"Amambai (MS)","2018","747","704","5372","4596","4629.06","121416","2.1","2017.63"
"Anastácio (MS)","2018","338","329","2787","2447","2609.77","57376","1.8","1691.15"
"Anaurilândia (MS)","2018","128","124","1032","896","936.01","24404","2.1","2005.59"
"Angélica (MS)","2018","185","172","6200","6007","5958.24","257432","3.5","3323.54"
"Antônio João (MS)","2018","122","118","734","597","748.97","19030","2.0","1954.46"
"Aparecida do Taboado (MS)","2018","860","835","7682","6779","6984.63","209938","2.4","2312.09"
"Aquidauana (MS)","2018","970","919","6308","5423","5656.99","132491","1.9","1801.59"
"Aral Moreira (MS)","2018","156","142","1176","1032","1210.48","34919","2.3","2219.03"
"Bandeirantes (MS)","2018","215","205","1155","891","953.70","23232","2.0","1873.86"
"Bataguassu (MS)","2018","544","534","6077","5491","5315.24","137143","2.1","1984.75"
"Batayporã (MS)","2018","215","211","1982","1713","1829.77","50300","2.2","2114.58"
"Bela Vista (MS)","2018","343","334","2519","2168","2306.40","60090","2.1","2004.13"
"Bodoquena (MS)","2018","128","121","1354","1225","1324.01","37122","2.3","2156.72"
"Bonito (MS)","2018","777","743","5085","4166","4166.54","107544","2.1","1985.49"
"Brasilândia (MS)","2018","351","333","2430","2095","2290.75","59491","2.1","1997.69"
"Caarapó (MS)","2018","593","571","6274","5619","6059.63","170182","2.3","2160.36"
"Camapuã (MS)","2018","332","318","2018","1644","1757.56","49928","2.3","2185.22"
"Campo Grande (MS)","2018","26374","24682","293232","261979","273607.61","12172305","3.6","3422.17"
"Caracol (MS)","2018","45","44","453","415","443.23","10989","2.0","1907.14"
"Cassilândia (MS)","2018","741","712","4221","3337","3249.05","79023","2.0","1870.92"
"Chapadão do Sul (MS)","2018","1106","1061","8408","6941","7158.67","238105","2.7","2558.55"
"Corguinho (MS)","2018","123","120","613","485","544.03","12779","1.9","1806.85"
"Coronel Sapucaia (MS)","2018","266","258","1310","1030","1148.03","25063","1.8","1679.31"
"Corumbá (MS)","2018","1594","1480","16609","14776","15391.82","540469","2.8","2701.08"
"Costa Rica (MS)","2018","838","794","5789","4839","5032.96","162400","2.6","2482.11"
"Coxim (MS)","2018","889","859","5336","4384","4414.99","120756","2.2","2103.96"
"Deodápolis (MS)","2018","262","259","1643","1318","1402.71","34876","2.0","1912.55"
"Dois Irmãos do Buriti (MS)","2018","125","119","1149","1018","1123.53","25535","1.8","1748.28"
"Douradina (MS)","2018","99","96","620","515","534.35","15237","2.3","2193.51"
"Dourados (MS)","2018","6891","6580","66169","57648","62316.90","2021835","2.6","2495.72"
"Eldorado (MS)","2018","265","246","2235","1927","1968.09","48320","2.0","1888.59"
"Fátima do Sul (MS)","2018","510","505","3575","3078","3067.70","79498","2.1","1993.44"
"Figueirão (MS)","2018","107","94","426","336","343.66","10854","2.5","2429.59"
"Glória de Dourados (MS)","2018","202","197","1134","902","906.32","23365","2.1","1983.09"
"Guia Lopes da Laguna (MS)","2018","176","167","1301","1116","1093.27","25936","1.9","1824.86"
"Iguatemi (MS)","2018","343","332","2121","1737","1871.82","46541","2.0","1912.63"
"Inocência (MS)","2018","313","301","1307","951","1021.52","25549","2.0","1923.92"
"Itaporã (MS)","2018","380","369","2674","2195","2280.25","64596","2.3","2179.11"
"Itaquiraí (MS)","2018","446","408","4170","3713","3845.15","99990","2.1","2000.32"
"Ivinhema (MS)","2018","608","588","4495","3766","3787.14","99739","2.1","2025.86"
"Japorã (MS)","2018","54","53","501","441","559.57","13516","1.9","1857.97"
"Jaraguari (MS)","2018","111","101","761","621","650.20","17181","2.1","2032.61"
"Jardim (MS)","2018","589","565","3678","3025","3146.65","84846","2.2","2074.14"
"Jateí (MS)","2018","59","57","576","537","495.79","17613","2.9","2732.75"
"Juti (MS)","2018","103","102","851","750","833.65","20848","2.0","1923.66"
"Ladário (MS)","2018","142","128","3537","3404","3457.70","185757","4.3","4132.52"
"Laguna Carapã (MS)","2018","130","125","1091","971","1029.41","34442","2.7","2573.66"
"Maracaju (MS)","2018","1305","1245","8719","7310","7909.45","229710","2.3","2234.04"
"Miranda (MS)","2018","412","392","3904","3486","3508.08","84754","1.9","1858.43"
"Mundo Novo (MS)","2018","543","531","3029","2372","2440.56","64664","2.1","2038.12"
"Naviraí (MS)","2018","1531","1463","11505","9812","10335.65","289810","2.3","2156.91"
"Nioaque (MS)","2018","212","196","1354","1148","1171.58","29570","2.0","1941.50"
"Nova Alvorada do Sul (MS)","2018","539","523","5685","5195","5778.30","169614","2.4","2257.97"
"Nova Andradina (MS)","2018","1586","1520","12178","10195","10602.89","286493","2.2","2078.48"
"Novo Horizonte do Sul (MS)","2018","110","109","689","575","595.53","16107","2.2","2080.54"
"Paraíso das Águas (MS)","2018","157","151","1153","967","1014.49","42466","3.4","3219.99"
"Paranaíba (MS)","2018","1424","1372","9802","8063","8015.46","191675","1.9","1839.48"
"Paranhos (MS)","2018","132","130","962","837","957.26","26149","2.2","2101.23"
"Pedro Gomes (MS)","2018","120","119","800","682","679.01","17971","2.1","2035.91"
"Ponta Porã (MS)","2018","1700","1608","14367","12341","12374.12","340212","2.2","2114.91"
"Porto Murtinho (MS)","2018","189","174","1388","1223","1372.34","41808","2.5","2343.44"
"Ribas do Rio Pardo (MS)","2018","543","512","3712","3088","3284.85","86098","2.1","2016.21"
"Rio Brilhante (MS)","2018","1067","1035","9637","8549","9383.10","330962","2.8","2713.24"
"Rio Negro (MS)","2018","93","90","563","467","516.49","11851","1.9","1765.00"
"Rio Verde de Mato Grosso (MS)","2018","471","464","2755","2236","2262.72","56814","2.0","1931.43"
"Rochedo (MS)","2018","105","102","1119","1004","1120.79","33789","2.4","2319.04"
"Santa Rita do Pardo (MS)","2018","125","117","1162","1036","1038.33","27606","2.1","2045.16"
"São Gabriel do Oeste (MS)","2018","1022","988","8221","7094","7177.15","224875","2.5","2410.16"
"Sete Quedas (MS)","2018","241","239","1113","834","855.17","24473","2.3","2201.36"
"Selvíria (MS)","2018","127","120","1650","1525","1501.18","54773","2.9","2806.67"
"Sidrolândia (MS)","2018","944","904","9047","8032","8461.30","211286","2.0","1920.84"
"Sonora (MS)","2018","365","356","4354","3949","4352.60","139641","2.6","2467.86"
"Tacuru (MS)","2018","112","111","727","611","760.43","17630","1.9","1783.40"
"Taquarussu (MS)","2018","52","52","452","400","421.18","12187","2.3","2225.74"
"Terenos (MS)","2018","293","279","2437","2081","2193.53","63503","2.3","2226.93"
"Três Lagoas (MS)","2018","3489","3326","36744","32976","33847.13","1279486","3.0","2907.84"
"Vicentina (MS)","2018","113","110","804","710","767.41","20712","2.2","2076.12"
"Acorizal (MT)","2018","73","73","602","538","491.98","19928","3.3","3115.80"
"Água Boa (MT)","2018","925","895","5800","4669","4901.71","150434","2.5","2360.77"
"Alta Floresta (MT)","2018","1601","1560","12558","10521","11218.01","309846","2.2","2124.64"
"Alto Araguaia (MT)","2018","421","413","2757","2404","2441.20","79449","2.6","2503.48"
"Alto Boa Vista (MT)","2018","103","101","492","390","374.50","13248","2.9","2721.18"
